Running patient: adult#003
Action space: Box(-1.0, 1.0, (1,), float32)
Action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to teacher_models/smooth/adult-003/logs/ppo_simglucose_1
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 38.9      |
|    ep_rew_mean     | -6.67e+06 |
| time/              |           |
|    fps             | 108       |
|    iterations      | 1         |
|    time_elapsed    | 4         |
|    total_timesteps | 480       |
----------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 38.3         |
|    ep_rew_mean          | -6.96e+06    |
| time/                   |              |
|    fps                  | 102          |
|    iterations           | 2            |
|    time_elapsed         | 9            |
|    total_timesteps      | 960          |
| train/                  |              |
|    approx_kl            | 2.483527e-09 |
|    clip_fraction        | 0            |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 4.76e+12     |
|    n_updates            | 10           |
|    policy_gradient_loss | -6.95e-07    |
|    std                  | 1            |
|    value_loss           | 9.28e+12     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.2          |
|    ep_rew_mean          | -7.05e+06     |
| time/                   |               |
|    fps                  | 101           |
|    iterations           | 3             |
|    time_elapsed         | 14            |
|    total_timesteps      | 1440          |
| train/                  |               |
|    approx_kl            | 3.7252904e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 4.77e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.52e+12      |
|    n_updates            | 20            |
|    policy_gradient_loss | -1.79e-07     |
|    std                  | 1             |
|    value_loss           | 1.14e+13      |
-------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 38        |
|    ep_rew_mean          | -7.06e+06 |
| time/                   |           |
|    fps                  | 101       |
|    iterations           | 4         |
|    time_elapsed         | 18        |
|    total_timesteps      | 1920      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 5.96e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 5.62e+12  |
|    n_updates            | 30        |
|    policy_gradient_loss | 1.13e-08  |
|    std                  | 1         |
|    value_loss           | 1.06e+13  |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 37.8          |
|    ep_rew_mean          | -7.05e+06     |
| time/                   |               |
|    fps                  | 100           |
|    iterations           | 5             |
|    time_elapsed         | 23            |
|    total_timesteps      | 2400          |
| train/                  |               |
|    approx_kl            | 6.2088173e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 9.54e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.05e+12      |
|    n_updates            | 40            |
|    policy_gradient_loss | -9.63e-08     |
|    std                  | 1             |
|    value_loss           | 1.06e+13      |
-------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 38.1      |
|    ep_rew_mean          | -6.96e+06 |
| time/                   |           |
|    fps                  | 101       |
|    iterations           | 6         |
|    time_elapsed         | 28        |
|    total_timesteps      | 2880      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 1.31e-06  |
|    learning_rate        | 0.0003    |
|    loss                 | 5.4e+12   |
|    n_updates            | 50        |
|    policy_gradient_loss | 1.98e-08  |
|    std                  | 1         |
|    value_loss           | 1.06e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 38        |
|    ep_rew_mean          | -6.92e+06 |
| time/                   |           |
|    fps                  | 100       |
|    iterations           | 7         |
|    time_elapsed         | 33        |
|    total_timesteps      | 3360      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 1.19e-06  |
|    learning_rate        | 0.0003    |
|    loss                 | 4.54e+12  |
|    n_updates            | 60        |
|    policy_gradient_loss | 1.44e-08  |
|    std                  | 1         |
|    value_loss           | 8.93e+12  |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.1          |
|    ep_rew_mean          | -6.87e+06     |
| time/                   |               |
|    fps                  | 100           |
|    iterations           | 8             |
|    time_elapsed         | 38            |
|    total_timesteps      | 3840          |
| train/                  |               |
|    approx_kl            | 4.0978194e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.61e-06      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.12e+12      |
|    n_updates            | 70            |
|    policy_gradient_loss | -3.16e-08     |
|    std                  | 1             |
|    value_loss           | 9.85e+12      |
-------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 38.3           |
|    ep_rew_mean          | -6.88e+06      |
| time/                   |                |
|    fps                  | 101            |
|    iterations           | 9              |
|    time_elapsed         | 42             |
|    total_timesteps      | 4320           |
| train/                  |                |
|    approx_kl            | -6.2088173e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 1.13e-06       |
|    learning_rate        | 0.0003         |
|    loss                 | 4.32e+12       |
|    n_updates            | 80             |
|    policy_gradient_loss | -2.81e-08      |
|    std                  | 1              |
|    value_loss           | 8.86e+12       |
--------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.6          |
|    ep_rew_mean          | -6.79e+06     |
| time/                   |               |
|    fps                  | 100           |
|    iterations           | 10            |
|    time_elapsed         | 47            |
|    total_timesteps      | 4800          |
| train/                  |               |
|    approx_kl            | 1.6142925e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.25e-06      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.27e+12      |
|    n_updates            | 90            |
|    policy_gradient_loss | -6.64e-09     |
|    std                  | 1             |
|    value_loss           | 8.92e+12      |
-------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 39             |
|    ep_rew_mean          | -6.67e+06      |
| time/                   |                |
|    fps                  | 101            |
|    iterations           | 11             |
|    time_elapsed         | 52             |
|    total_timesteps      | 5280           |
| train/                  |                |
|    approx_kl            | -6.2088173e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 1.67e-06       |
|    learning_rate        | 0.0003         |
|    loss                 | 4.41e+12       |
|    n_updates            | 100            |
|    policy_gradient_loss | -3.73e-08      |
|    std                  | 1              |
|    value_loss           | 8.77e+12       |
--------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 39.1           |
|    ep_rew_mean          | -6.67e+06      |
| time/                   |                |
|    fps                  | 101            |
|    iterations           | 12             |
|    time_elapsed         | 56             |
|    total_timesteps      | 5760           |
| train/                  |                |
|    approx_kl            | -8.6923446e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 1.43e-06       |
|    learning_rate        | 0.0003         |
|    loss                 | 4.17e+12       |
|    n_updates            | 110            |
|    policy_gradient_loss | -6.38e-08      |
|    std                  | 1              |
|    value_loss           | 8.19e+12       |
--------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39.4          |
|    ep_rew_mean          | -6.58e+06     |
| time/                   |               |
|    fps                  | 101           |
|    iterations           | 13            |
|    time_elapsed         | 61            |
|    total_timesteps      | 6240          |
| train/                  |               |
|    approx_kl            | 7.4505807e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.19e-06      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.08e+12      |
|    n_updates            | 120           |
|    policy_gradient_loss | 9.36e-09      |
|    std                  | 1             |
|    value_loss           | 9.95e+12      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39.1          |
|    ep_rew_mean          | -6.68e+06     |
| time/                   |               |
|    fps                  | 101           |
|    iterations           | 14            |
|    time_elapsed         | 66            |
|    total_timesteps      | 6720          |
| train/                  |               |
|    approx_kl            | 2.2351743e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.01e-06      |
|    learning_rate        | 0.0003        |
|    loss                 | 4e+12         |
|    n_updates            | 130           |
|    policy_gradient_loss | -8.36e-08     |
|    std                  | 1             |
|    value_loss           | 8.56e+12      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39.1          |
|    ep_rew_mean          | -6.74e+06     |
| time/                   |               |
|    fps                  | 101           |
|    iterations           | 15            |
|    time_elapsed         | 71            |
|    total_timesteps      | 7200          |
| train/                  |               |
|    approx_kl            | 1.9868216e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 8.94e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.68e+12      |
|    n_updates            | 140           |
|    policy_gradient_loss | -1.72e-07     |
|    std                  | 1             |
|    value_loss           | 1.13e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39            |
|    ep_rew_mean          | -6.77e+06     |
| time/                   |               |
|    fps                  | 101           |
|    iterations           | 16            |
|    time_elapsed         | 75            |
|    total_timesteps      | 7680          |
| train/                  |               |
|    approx_kl            | 3.7252906e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.01e-06      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.4e+12       |
|    n_updates            | 150           |
|    policy_gradient_loss | -1.56e-08     |
|    std                  | 1             |
|    value_loss           | 1.05e+13      |
-------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 38.4      |
|    ep_rew_mean          | -6.81e+06 |
| time/                   |           |
|    fps                  | 100       |
|    iterations           | 17        |
|    time_elapsed         | 80        |
|    total_timesteps      | 8160      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 7.15e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 4.87e+12  |
|    n_updates            | 160       |
|    policy_gradient_loss | -5.93e-08 |
|    std                  | 1         |
|    value_loss           | 1.06e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 38.3      |
|    ep_rew_mean          | -6.85e+06 |
| time/                   |           |
|    fps                  | 101       |
|    iterations           | 18        |
|    time_elapsed         | 85        |
|    total_timesteps      | 8640      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 4.17e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 5.33e+12  |
|    n_updates            | 170       |
|    policy_gradient_loss | -3.56e-08 |
|    std                  | 1         |
|    value_loss           | 1.07e+13  |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 37.7          |
|    ep_rew_mean          | -6.96e+06     |
| time/                   |               |
|    fps                  | 101           |
|    iterations           | 19            |
|    time_elapsed         | 90            |
|    total_timesteps      | 9120          |
| train/                  |               |
|    approx_kl            | -2.483527e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 5.96e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.12e+12      |
|    n_updates            | 180           |
|    policy_gradient_loss | -5.02e-09     |
|    std                  | 1             |
|    value_loss           | 9.52e+12      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 37.7          |
|    ep_rew_mean          | -6.96e+06     |
| time/                   |               |
|    fps                  | 101           |
